Column1,evenement_name,date,evenement_url,latitude,longitude,meteo
"0,Conférence: La violence de couple ne connaît pas de date de péremption,26/11/2024 10:00,https://www.geneve.ch/agenda/conference-violence-couple-connait-date-peremption,""46,2151"",""6,1469""",,,,,,Erreur API
"1,""Alphonse de Candolle, le digne successeur d'Augustin-Pyramus"",26/11/2024 12:30,https://www.geneve.ch/agenda/alphonse-candolle-digne-successeur-augustin-pyramus,""46,2276"",""6,1467""",,,,,,Erreur API
"3,Jeanne Added x L’Orchestre de Chambre de Genève,26/11/2024 19:30,https://www.geneve.ch/agenda/jeanne-added-orchestre-chambre-geneve,""46,2015"",""6,1414""",,,,,,Erreur API
"6,""Cours de Pilates """"Prendre de la hauteur"""""",26/11/2024 12:30,https://www.geneve.ch/agenda/cours-pilates-prendre-hauteur,""46,1994"",""6,1516""",,,,,,Erreur API
"7,Conférence avec Jean-Baptiste Fressoz,26/11/2024 18:30,https://www.geneve.ch/agenda/conference-jean-baptiste-fressoz,""46,2208"",""6,1436""",,,,,,Erreur API
"9,Atelier Fresque de l'Economie Circulaire / Mission Genève Durable,26/11/2024 18:30,https://www.geneve.ch/agenda/atelier-fresque-economie-circulaire-mission-geneve-durable,""46,2098"",""6,1174""",,,,,,Erreur API
"10,Polyglots - Spectacle d'improvisation multilingue,26/11/2024 20:00,https://www.geneve.ch/agenda/polyglots-spectacle-improvisation-multilingue,""46,1945"",""6,1434""",,,,,,Erreur API
"13,Plouf ! Des histoires pour se jeter à l'eau,27/11/2024 10:30,https://www.geneve.ch/agenda/plouf-histoires-jeter-eau-0,""46,2049"",""6,162""",,,,,,Erreur API
"14,Comment nous souvenons-nous ?,27/11/2024 14:00,https://www.geneve.ch/agenda/souvenons,""46,2151"",""6,1469""",,,,,,Erreur API
"15,TONY ANN,26/11/2024 20:00,https://www.geneve.ch/agenda/tony,""46,2028"",""6,1464""",,,,,,Erreur API
"17,Chasse aux animaux,27/11/2024 10:30,https://www.geneve.ch/agenda/chasse-animaux-1,""46,1994"",""6,1516""",,,,,,Erreur API
"18,""Stand Mode Durable : """"La Mode en Conscience"""""",27/11/2024 10:00,https://www.geneve.ch/agenda/stand-mode-durable-mode-conscience,""46,1947"",""6,1403""",,,,,,Erreur API
"19,Atelier cosmétique enfants: fabrication Savon de Noël,27/11/2024 14:30,https://www.geneve.ch/agenda/atelier-cosmetique-enfants-fabrication-savon-noel,""46,204"",""6,1619""",,,,,,Erreur API
"20,Où est passée Madame Tavel?,27/11/2024 15:00,https://www.geneve.ch/agenda/passee-madame-tavel,""46,2014"",""6,1471""",,,,,,Erreur API
"22,""Les poissons du Léman, un atelier pour découvrir, admirer et dessiner"",27/11/2024 16:00,https://www.geneve.ch/agenda/poissons-leman-atelier-decouvrir-admirer-dessiner,""46,2049"",""6,162""",,,,,,Erreur API
"23,AMAZONIA : Coeur de la terre mère,27/11/2024 18:15,https://www.geneve.ch/agenda/amazonia-coeur-terre-mere,""46,1947"",""6,1403""",,,,,,Erreur API
"25,Complet - Passionnantes expériences de biologie moléculaire,27/11/2024 14:00,https://www.geneve.ch/agenda/passionnantes-experiences-biologie-moleculaire,""46,2276"",""6,1467""",,,,,,Erreur API
"26,Les poissons du Léman,27/11/2024 16:00,https://www.geneve.ch/agenda/poissons-leman,""46,2049"",""6,162""",,,,,,Erreur API
"28,RENCONTRE et SÉANCE SPÉCIALE: ?BRUNAUPARK (2023) de Felix Hergert & Dominik Zietlow!,27/11/2024 18:00,https://www.geneve.ch/agenda/rencontre-seance-speciale-brunaupark-2023-felix-hergert-dominik-zietlow,""46,2011"",""6,1417""",,,,,,Erreur API
"29,Prix IDDEA 2024 : Soirée de Gala,27/11/2024 17:45,https://www.geneve.ch/agenda/prix-iddea-2024-soiree-gala,""46,194"",""6,1435""",,,,,,Erreur API
"32,TONY ANN,27/11/2024 20:00,https://www.geneve.ch/agenda/tony-0,""46,2028"",""6,1464""",,,,,,Erreur API
"36,""Table ronde",,,,,,Erreur API
"Se reconstruire par le processus créatif à la suite de violences sexistes et sexuelles : regards et expériences croisées"",27/11/2024 18:30,https://www.geneve.ch/agenda/table-ronde-reconstruire-processus-creatif-suite-violences-sexistes-sexuelles-regards-experiences-croisees,""46,2011"",""6,1417""",,,,,,Erreur API
"37,Barocco,27/11/2024 20:00,https://www.geneve.ch/agenda/barocco,""46,2015"",""6,1414""",,,,,,Erreur API
"38,Visite en mouvement pour adultes *COMPLET*,28/11/2024 10:00,https://www.geneve.ch/agenda/visite-mouvement-adultes-complet,""46,1994"",""6,1516""",,,,,,Erreur API
"39,Visite de l'Hôtel de Ville,28/11/2024 10:00,https://www.geneve.ch/agenda/visite-hotel-ville,""46,201"",""6,1468""",,,,,,Erreur API
"41,""Stand Alimentation Durable : """"Le Goût de Demain"""""",28/11/2024 10:00,https://www.geneve.ch/agenda/stand-alimentation-durable-gout-demain,""46,1947"",""6,1403""",,,,,,Erreur API
"42,La broderie et ce qu’on en dit,28/11/2024 14:00,https://www.geneve.ch/agenda/broderie-quon-0,""46,2151"",""6,1469""",,,,,,Erreur API
"43,Atelier Fresque de la Biodiversité / Mission Genève durable,28/11/2024 15:00,https://www.geneve.ch/agenda/atelier-fresque-biodiversite-mission-geneve-durable,""46,2276"",""6,1467""",,,,,,Erreur API
"44,La salle d'archéologie régionale,28/11/2024 18:00,https://www.geneve.ch/agenda/salle-archeologie-regionale,""46,1994"",""6,1516""",,,,,,Erreur API
"45,Midi poésie avec Poethreesome,28/11/2024 12:30,https://www.geneve.ch/agenda/midi-poesie-poethreesome,""46,2014"",""6,1466""",,,,,,Erreur API
"48,Disscussion rencontre avec John Armleder,28/11/2024 18:00,https://www.geneve.ch/agenda/disscussion-rencontre-john-armleder,""46,2021"",""6,1466""",,,,,,Erreur API
"50,Conférence : « Les états de la soie »,28/11/2024 18:30,https://www.geneve.ch/agenda/conference-etats-soie,""46,1977"",""6,1534""",,,,,,Erreur API
"52,Conférence avec Aurore Stéphant,28/11/2024 18:30,https://www.geneve.ch/agenda/conference-aurore-stephant,""46,1947"",""6,1403""",,,,,,Erreur API
"53,""COMPLET - Ateliers de théâtre-forum """"Ne détournez pas le regard"""""",28/11/2024 18:30,https://www.geneve.ch/agenda/complet-ateliers-theatre-forum-detournez-regard,""46,201"",""6,1386""",,,,,,Erreur API
"54,Atelier Fresque du Numérique - Mission Genève Durable,28/11/2024 18:00,https://www.geneve.ch/agenda/atelier-fresque-numerique-mission-geneve-durable,""46,2083"",""6,1385""",,,,,,Erreur API
"57,Les relations archéologiques entre Genève et le Valais,28/11/2024 19:00,https://www.geneve.ch/agenda/relations-archeologiques-entre-geneve-valais,""46,1994"",""6,1516""",,,,,,Erreur API
"59,Jeux vidéo aux Minoteries,28/11/2024 19:00,https://www.geneve.ch/agenda/jeux-video-minoteries,""46,1909"",""6,1426""",,,,,,Erreur API
"60,""Projection de l'Invisible éléphant : violences domestiques, conséquences sur les enfants"",28/11/2024 18:45,https://www.geneve.ch/agenda/projection-invisible-elephant-violences-domestiques-consequences-enfants,""46,2041"",""6,1581""",,,,,,Erreur API
"62,Annulé - Défi coopératif,29/11/2024 14:00,https://www.geneve.ch/agenda/defi-cooperatif,""46,204"",""6,1619""",,,,,,Erreur API
"63,Les Tricots du cœur,29/11/2024 14:00,https://www.geneve.ch/agenda/tricots-coeur,""46,2151"",""6,1469""",,,,,,Erreur API
"66,Atelier olfactif,29/11/2024 10:00,https://www.geneve.ch/agenda/atelier-olfactif-2,""46,2151"",""6,1469""",,,,,,Erreur API
"72,Concert Antonio Farao Trio,29/11/2024 21:00,https://www.geneve.ch/agenda/concert-antonio-farao-trio,""46,201"",""6,1427""",,,,,,Erreur API
"75,""FILM : Lanceurs de défis, solidaires, circulaires, durables"",29/11/2024 18:30,https://www.geneve.ch/agenda/film-lanceurs-defis-solidaires-circulaires-durables,""46,2029"",""6,1346""",,,,,,Erreur API
"76,Orchestre symphonique genevois,29/11/2024 20:00,https://www.geneve.ch/agenda/orchestre-symphonique-genevois,""46,2015"",""6,1414""",,,,,,Erreur API
"78,JOËLLE LÉANDRE « Atlantic Ave. Septet »,29/11/2024 21:00,https://www.geneve.ch/agenda/joelle-leandre-atlantic-septet,""46,2097"",""6,1458""",,,,,,Erreur API
"81,Safari Circulaire : Un Voyage au Cœur de la Production et de la Consommation Durable à Genève,30/11/2024 11:00,https://www.geneve.ch/agenda/safari-circulaire-voyage-coeur-production-consommation-durable-geneve,""46,2106"",""6,1412""",,,,,,Erreur API
"82,""SILLAGES 4, l'atelier de gravure"",30/11/2024 14:00,https://www.geneve.ch/agenda/sillages-4-atelier-gravure,""46,2049"",""6,162""",,,,,,Erreur API
"86,Mon smartphone et l'intelligence artificielle,30/11/2024 14:00,https://www.geneve.ch/agenda/smartphone-intelligence-artificielle,""46,2029"",""6,1451""",,,,,,Erreur API
"90,Atelier de teinture à l’indigo,30/11/2024 14:00,https://www.geneve.ch/agenda/atelier-teinture-indigo,""46,1977"",""6,1534""",,,,,,Erreur API
"93,""""""Sillages 4"""", le vernissage"",30/11/2024 17:00,https://www.geneve.ch/agenda/sillages-4-vernissage,""46,2049"",""6,162""",,,,,,Erreur API
"98,L’engagement écologique par la vidéo : projections de courts-métrages & discussions,30/11/2024 16:00,https://www.geneve.ch/agenda/engagement-ecologique-video-projections-courts-metrages-discussions,""46,2098"",""6,1174""",,,,,,Erreur API
"103,Bagarre,30/11/2024 20:00,https://www.geneve.ch/agenda/bagarre,""46,204"",""6,1364""",,,,,,Erreur API
"106,""Harmonie Nautique, Orchestre d’instruments à vent de la Ville de Genève"",30/11/2024 19:00,https://www.geneve.ch/agenda/harmonie-nautique-orchestre-instruments-vent-ville-geneve,""46,2015"",""6,1414""",,,,,,Erreur API
"108,NITE BJUTI,30/11/2024 21:00,https://www.geneve.ch/agenda/nite-bjuti,""46,2097"",""6,1458""",,,,,,Erreur API
